hour,day,current_count,event,previous_count,crowd
10,1,130,0,80,205
11,0,268,1,168,482
17,4,210,0,107,290
13,6,201,1,297,548
15,6,228,0,101,297
8,3,41,1,148,166
17,5,185,1,299,392
15,3,118,1,289,345
14,5,227,1,222,514
8,6,27,1,43,120
9,6,209,0,227,340
10,0,194,0,299,372
8,2,292,1,224,508
16,1,36,1,171,214
15,3,109,1,45,248
9,4,160,0,213,256
16,5,164,0,257,322
14,4,185,1,94,434
16,2,97,0,182,179
13,5,281,1,48,531
13,3,182,1,184,472
11,0,33,1,205,193
17,4,258,0,73,322
17,2,91,1,61,199
9,3,162,1,157,340
14,6,288,1,206,605
12,6,260,0,223,512
13,3,264,0,61,442
9,3,182,0,45,238
12,3,79,1,75,317
17,5,25,0,272,167
11,3,216,1,141,425
16,4,77,0,125,169
13,2,236,1,149,540
9,5,45,0,177,167
8,3,24,1,250,218
12,1,39,0,110,197
16,1,217,0,41,322
13,2,78,0,129,191
17,6,261,1,68,416
14,0,165,0,148,382
12,0,292,0,92,507
17,6,268,0,72,402
13,5,33,0,187,217
12,5,32,1,64,235
16,5,63,0,124,119
13,0,38,1,169,300
15,1,82,1,165,277
9,0,258,1,223,511
16,4,119,1,186,296
12,3,182,0,220,411
14,5,141,1,153,398
17,1,63,1,230,237
8,2,164,1,67,325
17,2,69,1,145,253
12,3,84,0,258,290
17,1,183,0,26,235
9,0,160,1,291,384
13,0,147,1,56,396
8,4,258,1,230,474
10,4,206,0,184,282
12,0,227,0,144,450
11,2,239,0,211,365
10,5,209,0,237,342
17,2,256,0,233,409
12,4,213,1,81,475
15,3,278,0,180,415
11,0,265,0,85,319
8,4,155,1,258,380
14,4,299,0,39,436
15,5,290,0,207,446
10,0,190,0,101,291
13,5,178,1,221,455
9,0,220,0,151,331
14,5,64,1,56,300
15,2,283,1,151,471
13,3,90,0,96,260
13,3,122,0,108,234
12,0,144,0,272,404
15,1,249,0,213,385
8,6,165,1,195,351
17,4,216,0,52,300
11,4,240,1,77,433
11,0,79,1,220,273
10,5,117,1,47,271
10,1,190,1,54,299
11,2,192,1,144,381
8,5,170,0,61,226
9,5,141,1,104,275
16,0,127,1,207,277
17,0,23,0,130,92
9,4,112,0,290,268
12,0,25,1,124,286
16,0,125,1,60,278
16,0,165,0,234,276
15,4,290,1,90,490
8,2,115,0,75,196
8,2,248,0,255,394
16,6,221,1,124,395
15,6,231,0,181,331
17,0,25,1,210,224
16,6,131,1,28,218
14,4,125,1,79,372
10,2,158,0,244,275
10,5,115,1,207,279
9,2,233,0,89,278
12,2,41,1,188,300
10,4,212,1,81,342
13,6,169,0,33,317
9,5,266,1,183,508
10,4,286,1,264,533
12,0,270,0,27,475
8,3,22,0,173,76
8,2,95,0,55,110
17,3,106,1,67,213
16,4,289,0,104,387
14,4,244,0,47,466
8,4,37,1,215,177
15,3,132,0,227,262
10,4,270,1,223,479
15,0,252,1,123,427
12,4,298,0,249,532
8,1,221,1,120,411
14,6,102,0,48,241
12,3,144,0,146,353
13,1,194,0,29,348
13,4,88,0,125,217
15,0,66,1,186,256
16,2,275,1,276,480
9,5,234,0,296,362
16,6,49,0,84,74
17,5,256,1,290,485
16,4,267,0,207,431
17,6,44,1,157,192
17,6,93,0,124,186
14,0,225,1,53,460
8,6,113,1,129,274
14,3,146,1,52,385
17,1,44,0,250,167
12,1,135,0,285,367
13,1,67,0,201,253
17,3,245,0,84,322
14,5,285,0,20,417
12,0,118,1,152,381
14,6,30,1,99,248
16,3,104,1,290,332
10,1,233,1,260,465
15,4,192,1,47,356
9,2,228,1,242,452
14,6,83,1,42,285
9,3,277,0,128,385
11,3,140,1,126,313
14,0,73,0,164,218
10,0,291,1,158,478
9,3,260,1,118,425
17,1,262,0,142,379
14,2,37,1,100,275
8,6,206,0,29,261
15,0,163,1,27,237
10,6,281,0,224,394
9,1,258,1,216,471
10,6,95,0,217,191
12,4,207,0,49,368
15,0,265,1,39,404
17,1,149,1,67,316
14,1,98,0,149,231
14,2,91,1,151,356
14,2,282,0,73,484
15,4,210,1,284,460
8,1,82,0,234,208
11,5,31,1,62,161
13,1,160,0,93,317
16,2,273,1,297,504
9,5,62,0,261,138
8,0,36,0,149,96
17,0,82,1,213,248
9,6,272,1,51,450
14,3,27,0,125,177
10,2,109,0,223,199
17,3,227,0,20,257
9,5,137,0,264,310
14,2,194,1,91,449
9,4,95,0,34,112
10,1,120,0,72,175
14,4,170,0,27,353
11,5,289,1,65,445
8,2,90,0,133,175
12,5,199,1,166,509
16,1,143,1,185,288
15,0,214,1,158,387
16,0,247,1,136,452
17,5,294,1,295,537
16,3,125,1,296,357
14,2,40,1,197,292
11,2,83,0,173,160
12,0,184,0,220,397
8,6,46,1,134,202
8,4,167,0,178,276
10,6,183,0,61,246
15,1,243,1,266,528
9,4,291,0,87,419
11,4,165,1,215,324
9,5,49,0,109,94
12,0,64,1,130,357
16,6,294,1,164,487
8,6,53,0,294,223
12,0,160,0,198,363
16,6,240,1,260,467
8,0,41,1,172,215
16,5,199,1,123,366
15,3,250,0,94,347
11,4,57,0,147,159
17,5,89,0,218,209
12,2,135,0,173,334
12,1,258,1,75,553
13,3,167,1,297,517
14,2,28,1,38,214
15,4,69,1,178,274
15,6,24,0,45,60
9,0,145,1,188,325
16,4,94,1,42,169
14,5,184,0,66,320
11,1,297,0,32,403
11,5,96,1,236,324
15,3,156,0,213,274
11,3,125,1,163,260
13,1,114,0,92,252
12,2,154,0,175,322
10,2,87,1,96,190
17,3,166,0,188,315
9,3,178,1,104,376
16,6,182,0,201,276
17,0,208,0,131,302
16,6,114,0,249,211
8,6,200,0,115,286
17,2,206,0,187,355
10,1,157,1,175,360
15,2,149,0,124,245
13,0,213,1,212,517
12,5,292,0,151,536
12,3,163,1,157,451
13,3,35,0,289,266
14,0,264,1,57,517
8,6,126,1,64,263
16,1,107,0,182,207
10,3,148,0,272,276
11,4,23,0,188,87
17,6,114,1,293,314
8,3,228,1,39,351
17,4,244,0,258,392
10,0,66,0,289,188
9,0,200,1,50,328
9,6,125,1,123,265
8,3,218,0,189,343
15,2,125,1,205,340
10,4,299,0,147,417
10,1,279,0,229,425
13,3,127,0,272,343
15,1,38,1,38,136
16,3,190,1,219,419
16,2,214,1,239,453
11,2,31,1,155,199
12,6,214,0,242,472
9,6,201,1,22,339
16,2,163,0,255,306
15,5,201,0,247,345
10,2,49,0,161,115
16,0,103,1,28,216
10,0,185,0,209,310
16,5,115,0,184,224
9,4,285,1,158,487
17,1,244,0,295,453
16,3,61,1,72,158
15,3,265,1,194,491
16,5,227,1,129,403
12,0,256,0,222,496
9,6,41,1,155,175
15,3,204,1,23,354
13,0,261,1,174,576
15,4,60,1,191,245
12,1,181,0,66,347
17,4,179,1,113,334
9,5,108,0,67,155
13,2,31,1,259,329
12,2,92,0,232,263
12,2,95,1,158,375
8,4,220,0,224,402
9,3,29,1,92,161
15,1,245,0,23,298
10,2,195,0,95,269
17,5,295,0,96,407
10,5,58,1,275,254
15,2,79,0,121,161
15,2,85,0,125,149
9,1,143,0,58,229
15,2,183,0,294,371
8,1,178,1,107,330
13,5,76,0,230,282
15,2,97,0,96,154
10,4,213,0,96,294
15,6,34,1,47,121
8,4,31,0,264,121
16,5,120,0,85,203
16,1,175,0,285,346
12,4,144,0,224,384
17,1,299,1,77,468
11,4,129,0,220,281
13,4,165,0,244,395
14,1,235,1,161,544
12,3,181,1,103,411
17,4,147,1,162,317
16,2,169,0,52,220
10,6,55,1,171,213
14,5,192,0,177,375
17,3,41,1,160,207
17,1,225,0,270,399
12,3,146,1,131,393
14,0,236,0,163,425
9,0,115,1,228,294
11,4,183,0,243,327
9,4,167,0,62,213
14,2,37,0,283,255
9,6,214,0,263,341
8,5,170,0,22,252
16,3,142,0,144,229
8,0,206,0,287,385
15,4,168,0,103,253
9,5,123,1,35,241
15,3,262,0,78,344
10,4,250,0,196,364
13,4,225,1,82,474
10,0,217,0,68,267
14,0,106,1,265,391
17,4,161,0,34,249
16,1,218,1,274,457
9,4,65,1,111,232
12,5,34,0,298,244
13,4,63,1,225,321
11,2,188,0,113,251
11,6,63,0,244,165
11,2,117,0,218,228
9,2,280,0,290,449
11,1,128,1,253,319
8,1,123,0,65,175
13,4,275,1,83,547
8,2,225,1,249,464
17,1,62,0,268,211
13,0,264,0,265,516
8,4,292,0,94,412
13,5,102,0,176,294
17,6,129,1,242,301
15,3,209,0,209,370
9,4,270,1,71,478
9,3,231,0,107,332
11,2,152,0,85,218
10,6,220,0,169,326
11,3,114,0,39,143
14,2,297,1,52,581
8,0,238,1,65,391
13,3,108,0,92,300
10,6,91,1,152,251
17,4,266,1,74,421
14,2,148,0,80,298
17,4,231,0,27,273
9,6,115,1,291,345
9,1,94,1,265,273
11,2,73,1,195,229
8,3,73,1,135,248
10,2,237,0,290,381
16,4,35,0,212,144
14,0,118,1,169,348
14,2,39,0,150,236
11,3,65,1,121,181
9,1,212,1,289,432
11,5,77,0,229,198
13,0,130,1,86,376
10,1,148,1,29,287
8,2,213,0,68,257
15,4,27,0,130,79
12,6,48,1,238,320
12,4,131,1,76,345
11,3,180,0,132,281
13,4,150,1,152,440
10,0,207,1,90,358
16,4,182,0,102,290
12,3,216,0,76,374
10,5,223,0,290,414
8,2,231,0,130,340
17,6,128,0,95,167
13,2,295,0,177,564
9,4,92,1,39,197
10,1,186,1,150,387
8,2,279,0,141,394
16,5,262,0,60,346
15,4,294,1,186,525
9,6,121,1,149,302
15,3,192,1,42,320
16,5,190,0,298,358
8,4,160,0,270,309
12,5,207,1,28,444
15,2,105,0,32,135
9,6,71,0,71,118
11,3,130,0,228,287
14,4,62,1,57,271
10,0,230,1,119,428
12,3,219,0,212,435
15,0,259,0,210,377
17,5,134,0,70,254
10,1,45,0,160,129
11,3,96,0,187,201
16,5,156,1,128,330
14,0,39,0,226,265
8,2,230,0,129,336
11,2,259,0,215,413
11,1,58,1,171,197
16,3,287,1,262,549
13,3,226,0,147,425
16,3,286,1,124,486
13,5,173,1,29,365
13,6,61,1,167,333
12,6,30,1,159,235
12,1,117,1,209,398
9,3,294,1,113,444
15,5,249,0,248,411
15,2,239,1,82,401
8,0,84,1,44,183
15,5,251,0,287,445
12,6,71,0,30,179
9,6,282,0,220,366
9,2,286,0,145,411
13,2,173,1,209,436
16,0,159,1,108,297
8,2,70,1,135,208
13,1,136,1,196,393
16,0,65,0,33,81
15,2,107,1,276,291
13,4,227,1,228,547
10,5,288,0,124,371
15,2,108,1,166,277
16,1,137,1,298,387
8,3,73,1,28,194
16,2,135,1,137,295
13,6,137,0,113,290
13,6,279,0,163,503
11,6,94,0,33,112
8,3,26,0,276,146
17,6,141,0,205,217
15,4,30,1,226,223
9,2,234,1,191,438
8,6,298,0,289,517
9,0,47,0,240,179
8,3,254,0,171,385
8,4,45,1,130,184
16,0,73,0,202,154
8,0,48,1,91,193
11,0,183,1,93,332
17,0,289,1,234,544
13,2,54,1,42,270
14,6,292,0,87,493
9,5,227,1,112,409
13,2,257,1,82,503
14,2,112,0,243,311
17,4,192,1,244,387
17,4,98,1,122,267
9,6,129,1,234,309
9,5,236,0,211,351
17,4,125,1,179,312
14,6,66,1,226,345
8,6,200,0,288,348
15,1,83,0,213,175
10,5,265,1,171,420
13,4,263,1,256,579
16,5,106,0,107,194
13,2,236,1,30,464
16,2,26,0,206,76
14,5,297,1,233,609
16,1,229,0,34,296
9,1,188,1,285,426
15,5,157,0,92,219
15,4,249,0,71,313
9,3,180,0,147,247
11,1,20,0,47,50
14,0,255,0,84,456
11,2,207,1,36,369
11,5,23,1,157,148
13,0,151,0,248,408
17,5,237,1,273,472
13,6,279,1,229,607
17,2,20,1,250,222
10,2,90,1,260,281
16,1,197,1,89,309
17,1,208,1,123,393
9,0,27,0,223,129
13,6,272,1,72,528
14,5,263,1,73,537
16,6,142,1,295,385
10,2,51,0,50,51
17,0,165,1,154,340
10,3,175,1,77,275
14,0,35,1,124,269
11,4,66,0,285,186
15,0,270,1,29,425
14,6,206,0,272,435
12,4,50,1,175,302
14,4,279,0,177,441
10,4,36,0,56,77
9,3,58,0,138,123
13,0,58,1,86,286
9,6,151,0,261,256
10,0,49,0,232,160
13,3,177,0,120,393
12,2,297,0,75,483
15,1,222,1,258,463
16,6,85,1,250,265
10,6,127,1,111,275
17,0,287,1,298,513
10,1,241,0,128,356
10,5,37,1,187,202
13,5,109,0,237,301
8,3,200,1,241,400
14,5,274,1,180,582
8,6,272,1,35,439
12,5,276,0,297,580
17,2,106,1,76,235
15,2,109,1,81,216
11,2,256,1,261,496
12,5,89,0,109,286
11,3,63,1,91,160
11,4,219,1,49,343
15,4,171,0,105,259
9,1,105,0,253,230
8,4,38,1,254,216
10,4,120,1,284,342
16,2,114,1,288,352
11,2,273,0,205,408
17,5,49,0,150,115
12,1,268,0,296,552
9,0,52,1,199,217
11,6,248,0,182,393
9,1,31,1,290,274
9,1,137,0,115,193
11,3,174,0,281,296
13,5,265,0,102,466
14,3,266,1,244,571
17,1,48,1,242,208
10,1,180,1,137,310
10,1,254,1,211,462
17,4,209,0,98,289
13,6,136,1,97,372
10,6,290,0,166,442
9,3,277,1,126,489
15,1,199,1,290,473
12,6,191,0,263,435
8,2,293,0,92,412
10,6,278,1,45,438
17,5,154,1,229,361
15,5,190,0,111,263
11,6,229,0,144,287
14,2,255,0,92,456
17,5,205,0,142,326
9,4,114,0,203,187
14,6,30,1,206,298
12,4,87,1,217,391
12,6,229,1,97,486
13,0,215,1,205,544
16,0,117,0,272,246
13,0,112,0,32,237
15,5,41,0,95,112
14,4,191,1,70,419
16,4,153,0,294,287
11,4,44,0,168,102
9,2,204,1,238,397
14,4,104,1,141,364
13,2,74,1,230,351
8,0,270,0,299,453
16,0,163,0,45,179
16,5,186,1,192,358
9,6,243,1,175,443
10,0,239,0,257,419
12,6,198,1,101,466
12,6,138,0,292,371
8,5,284,1,87,426
15,1,169,1,63,295
15,1,234,1,80,392
11,3,216,0,142,269
14,5,61,0,215,235
17,3,72,1,130,204
10,3,270,0,277,430
13,1,290,1,108,570
17,5,142,1,217,325
17,1,285,0,219,440
16,3,48,0,118,107
8,5,54,0,46,76
12,3,25,0,108,186
11,4,130,1,165,313
15,6,96,0,201,167
8,5,166,0,276,309
16,5,86,1,208,284
13,6,27,1,259,337
11,3,141,1,215,343
16,4,194,1,184,382
12,2,198,0,290,462
12,6,104,0,27,252
12,1,64,1,57,282
8,3,155,1,133,324
8,6,35,0,75,67
15,6,214,0,157,293
15,5,28,0,121,79
13,1,34,0,196,206
11,1,121,0,188,207
9,1,245,1,280,515
9,6,297,1,242,552
16,2,132,1,218,292
12,0,20,1,230,274
11,3,285,0,199,414
17,0,227,1,269,447
8,6,129,0,250,261
14,0,219,0,42,355
10,6,31,0,67,83
13,0,207,0,128,399
12,1,173,0,25,311
12,4,298,0,57,480
12,1,190,0,188,395
8,1,153,1,222,312
8,5,44,0,292,170
10,5,37,1,263,223
17,0,209,1,66,338
11,6,160,0,268,321
12,1,62,0,98,227
9,0,165,1,129,378
15,5,111,1,32,243
9,4,198,1,109,348
16,3,75,1,299,271
9,0,174,0,240,295
16,4,179,0,92,238
14,3,130,0,253,359
15,2,156,1,279,348
9,0,251,0,132,367
14,0,239,1,65,495
13,2,87,0,293,332
11,2,268,1,62,404
14,0,25,0,227,226
11,2,299,0,122,434
9,1,113,1,143,256
17,3,288,1,29,419
14,3,216,1,206,536
15,3,44,1,50,133
9,1,167,1,175,346
12,6,137,0,79,326
8,2,85,1,268,272
14,4,194,0,289,479
15,2,95,0,236,202
13,0,133,0,21,246
12,5,130,0,43,285
13,3,268,0,225,514
9,2,222,1,218,434
8,4,166,1,133,317
14,0,54,0,299,286
14,1,45,0,174,182
17,6,257,1,184,466
17,1,33,1,241,242
9,4,64,0,110,85
9,0,235,1,186,428
8,3,252,1,226,455
17,2,212,1,84,338
15,0,70,0,23,52
15,6,233,1,176,406
8,1,170,0,268,306
15,6,294,0,276,486
16,6,95,0,254,185
11,4,239,0,93,330
8,4,206,0,206,334
8,2,47,1,81,202
10,4,199,0,183,323
12,4,272,0,75,469
12,0,145,0,130,340
16,3,196,1,237,392
17,2,56,1,259,239
9,0,118,1,40,260
9,3,117,1,160,243
13,6,146,1,284,455
16,0,187,1,158,341
8,5,99,1,89,239
16,0,145,0,137,220
16,4,169,0,217,302
16,3,35,1,224,209
12,2,47,0,233,219
16,2,192,0,75,230
11,3,65,1,194,235
9,4,255,0,147,349
13,1,233,0,245,467
11,0,104,1,83,257
13,4,251,0,67,443
10,5,104,1,221,329
13,6,84,1,79,306
9,3,153,0,276,281
9,0,170,0,84,246
16,2,134,0,258,253
14,6,83,1,57,292
10,1,177,1,44,306
8,5,96,1,78,259
15,2,165,0,177,283
13,3,244,0,76,439
14,0,122,1,67,385
16,3,107,0,75,176
12,6,187,0,84,335
8,0,189,1,287,439
17,4,154,1,88,320
14,1,69,0,235,290
12,4,153,1,108,403
10,4,156,0,276,309
16,3,264,1,179,468
8,6,128,1,253,315
8,1,40,1,150,173
8,0,109,0,68,172
10,0,131,0,166,205
13,5,96,1,21,287
17,2,196,1,164,396
10,5,167,1,80,315
15,5,120,0,292,272
17,0,265,1,68,401
9,3,136,1,150,314
16,4,111,1,62,225
10,6,47,1,76,146
12,4,44,0,69,170
17,4,77,0,197,198
15,1,153,1,65,282
9,0,268,0,189,441
13,6,57,0,290,243
12,3,94,0,158,245
17,1,161,1,266,406
16,2,187,0,167,323
12,3,278,0,249,516
9,5,244,0,299,414
12,3,171,1,144,457
11,3,38,1,211,205
14,4,165,0,99,341
13,3,260,0,113,457
9,5,256,1,245,456
12,5,54,1,84,272
14,0,209,0,107,394
14,3,20,0,107,169
12,4,172,1,220,440
16,3,145,1,233,362
11,2,245,0,223,386
10,2,240,1,108,390
11,4,230,0,80,344
12,0,44,0,290,262
13,0,35,0,113,182
10,5,201,1,46,352
9,5,148,0,233,308
11,1,61,0,93,124
12,4,255,1,80,535
11,3,53,1,205,206
10,6,64,0,50,99
15,4,153,0,238,268
17,1,40,1,31,154
11,5,141,1,51,286
9,4,89,1,179,291
9,4,67,0,256,140
8,5,58,0,246,155
11,1,29,0,200,141
17,5,49,1,65,137
16,0,263,0,99,371
14,3,293,1,154,616
17,5,107,0,279,239
14,1,263,1,266,574
14,2,34,0,178,210
15,0,23,0,222,146
8,2,210,1,131,415
17,6,187,1,138,364
17,5,28,0,36,28
15,0,128,1,246,367
11,3,156,1,136,338
11,5,173,0,62,214
11,3,228,1,134,414
13,4,291,0,56,478
14,2,162,0,132,334
13,0,118,1,54,350
8,3,88,1,151,268
15,1,266,0,247,412
17,3,280,0,166,427
14,1,295,0,141,475
13,5,98,0,100,302
13,0,165,0,192,376
12,3,130,0,173,347
13,6,277,1,169,584
16,3,112,1,77,229
17,6,32,1,82,150
16,0,279,0,175,367
17,3,128,1,187,322
15,1,208,0,185,327
17,3,114,0,104,175
16,2,124,1,156,306
17,5,27,0,208,116
15,4,86,0,21,124
15,1,210,0,125,321
8,2,275,0,91,355
17,6,28,0,145,75
12,5,136,0,189,304
11,0,286,1,224,515
9,1,118,0,214,236
15,4,183,0,177,264
10,5,160,0,160,284
11,6,287,0,294,446
14,4,56,1,26,216
17,0,93,1,73,251
16,0,92,0,123,120
9,6,218,0,80,313
10,1,149,0,106,236
11,6,265,1,277,515
17,3,79,1,197,243
8,0,298,1,261,552
14,5,122,1,222,436
9,3,170,0,50,204
12,2,176,1,99,450
8,4,225,1,30,381
10,3,198,0,273,353
9,4,216,0,195,326
8,6,242,1,145,447
14,3,108,1,66,346
12,6,295,1,225,604
8,2,255,1,126,429
13,0,202,0,294,476
12,2,228,0,142,433
10,0,149,1,153,342
14,6,172,1,126,430
17,0,32,1,69,126
16,4,141,1,114,339
16,5,239,1,287,448
16,2,125,0,42,157
9,3,89,0,73,142
10,2,214,0,273,386
14,4,205,1,254,541
12,0,118,1,78,399
9,4,101,0,183,192
10,1,94,0,278,207
